Ag,1.87
I,2.359
Cd,1.521
La,1.10
Si,1.916
Co,1.84
Ge,1.994
Y,1.12
Ni,1.88
N,3.066
Li,0.912
Hf,1.16
Te,2.158
Th,1.3
Cu,1.85
Pt,1.72
Ga,1.756
Pr,1.13
Al,1.613
K,0.734
Se,2.424
Pd,1.58
Cs,0.659
F,4.193
As,2.211
Rb,0.706
Tm,1.25
Sb,1.984
Lu,1.09
Mo,1.47
Nd,1.14
Hg,1.765
Pm,1.13
Yb,1.1
Sn,1.824
Zr,1.32
O,3.610
S,2.589
Na,0.869
Nb,1.41
P,2.253
Xe,2.582
Er,1.24
Fe,1.80
In,1.656
Pb,1.854
Zn,1.588
Dy,1.23
Mn,1.75
Ti,1.38
Au,1.92
Ir,1.68
Cl,2.869
Mg,1.293
V,1.53
Ca,1.034
H,2.300
Tl,1.789
B,2.051
Ba,0.881
Sc,1.19
Ru,1.54
Gd,1.2
U,1.38
Bi,2.01
Br,2.685
Ta,1.34
Ce,1.12
Os,1.65
Rh,1.56
Be,1.576
Re,1.60
Tb,1.22
Sm,1.17
Eu,1.2
C,2.544
Ho,1.24
Cr,1.65
Pu,1.28
Sr,0.963
Tc,1.51
Ac,1.1
Np,1.36
W,1.47
Pa,1.5
Kr,2.966
Ne,4.787
He,4.160
Ar,3.242
