H,hydrogen,2.300
He,helium,4.160
Li,lithium,0.912
Be,beryllium,1.576
B,boron,2.051
C,carbon,2.544
N,nitrogen,3.066
O,oxygen,3.610
F,fluorine,4.193
Ne,neon,4.787
Na,sodium,0.869
Mg,magnesium,1.293
Al,aluminium,1.613
Si,silicon,1.916
P,phosphorus,2.253
S,sulfur,2.589
Cl,chlorine,2.869
Ar,argon,3.242
K,potassium,0.734
Ca,calcium,1.034
Sc,scandium,1.19
Ti,titanium,1.38
V,vanadium,1.53
Cr,chromium,1.65
Mn,manganese,1.75
Fe,iron,1.80
Co,cobalt,1.84
Ni,nickel,1.88
Cu,copper,1.85
Zn,zinc,1.588
Ga,gallium,1.756
Ge,germanium,1.994
As,arsenic,2.211
Se,selenium,2.424
Br,bromine,2.685
Kr,krypton,2.966
Rb,rubidium,0.706
Sr,strontium,0.963
Y,yttrium,1.12
Zr,zirconium,1.32
Nb,niobium,1.41
Mo,molybdenum,1.47
Tc,technetium,1.51
Ru,ruthenium,1.54
Rh,rhodium,1.56
Pd,palladium,1.58
Ag,silver,1.87
Cd,cadmium,1.521
In,indium,1.656
Sn,tin,1.824
Sb,antimony,1.984
Te,tellurium,2.158
I,iodine,2.359
Xe,xenon,2.582
Cs,caesium,0.659
Ba,barium,0.881
Lu,lutetium,1.09
Hf,hafnium,1.16
Ta,tantalum,1.34
W,tungsten,1.47
Re,rhenium,1.60
Os,osmium,1.65
Ir,iridium,1.68
Pt,platinum,1.72
Au,gold,1.92
Hg,mercury,1.765
Tl,thallium,1.789
Pb,lead,1.854
Bi,bismuth,2.01
Po,polonium,2.19
At,astatine,2.39
Rn,radon,2.60
Fr,francium,0.67
Ra,radium,0.89
